StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q4_1_1,Q4_1_2,Q4_1_3,Q4_1_4,Q4_1_5,Q4_2_1,Q4_2_2,Q4_2_3,Q4_2_4,Q4_2_5,Q4_3_1,Q4_3_2,Q4_3_3,Q4_3_4,Q4_3_5,Q4_4_1,Q4_4_2,Q4_4_3,Q4_4_4,Q4_4_5,Q4_5_1,Q4_5_2,Q4_5_3,Q4_5_4,Q4_5_5,Q4_6_1,Q4_6_2,Q4_6_3,Q4_6_4,Q4_6_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What are the responsibilities of a supervisor? 
  Choose all that apply. - Enforce high work standards","What are the responsibilities of a supervisor? 
  Choose all that apply. - Communicate with upper management and workers","What are the responsibilities of a supervisor? 
  Choose all that apply. - Monitor workers’ work performance","What are the responsibilities of a supervisor? 
  Choose all that apply. - Coach and give feedback to workers","What are the responsibilities of a supervisor? 
  Choose all that apply. - Solve work problems","What are the responsibilities of a supervisor? 
  Choose all that apply. - Enforce discipline","What are the responsibilities of a supervisor? 
  Choose all that apply. - Respect and uphold workers’ rights","What are the appropriate objectives of correcting poor work
  performance? 
  Choose all that apply. - To improve workers’ performance","What are the appropriate objectives of correcting poor work
  performance? 
  Choose all that apply. - To increase discipline","What are the appropriate objectives of correcting poor work
  performance? 
  Choose all that apply. - To reduce product defects/rejection rate","What are the appropriate objectives of correcting poor work
  performance? 
  Choose all that apply. - To punish or humiliate workers","What are the appropriate objectives of correcting poor work
  performance? 
  Choose all that apply. - To show someone that “I’m the boss”","What may constitute harassment among the behaviours below? 
  Choose all that apply. - Physical violence ","What may constitute harassment among the behaviours below? 
  Choose all that apply. - Touching","What may constitute harassment among the behaviours below? 
  Choose all that apply. - Shouting","What may constitute harassment among the behaviours below? 
  Choose all that apply. - Comments and questions about appearance","What may constitute harassment among the behaviours below? 
  Choose all that apply. - Offensive phone calls","What may constitute harassment among the behaviours below? 
  Choose all that apply. - Throwing things at others","What may constitute harassment among the behaviours below? 
  Choose all that apply. - Display of sexual materials","What may constitute harassment among the behaviours below? 
  Choose all that apply. - Whistling","What may constitute harassment among the behaviours below? 
  Choose all that apply. - All of the above","Please indicate how
  much you agree or disagree with the following statements. - I deserve respect from my workers because I hold the role of supervisor. - Strongly disagree","Please indicate how
  much you agree or disagree with the following statements. - I deserve respect from my workers because I hold the role of supervisor. - Disagree","Please indicate how
  much you agree or disagree with the following statements. - I deserve respect from my workers because I hold the role of supervisor. - Neither agree nor disagree","Please indicate how
  much you agree or disagree with the following statements. - I deserve respect from my workers because I hold the role of supervisor. - Agree","Please indicate how
  much you agree or disagree with the following statements. - I deserve respect from my workers because I hold the role of supervisor. - Strongly agree","Please indicate how
  much you agree or disagree with the following statements. - I need to win respect from my workers through practical, positive actions, and by setting a good example. - Strongly disagree","Please indicate how
  much you agree or disagree with the following statements. - I need to win respect from my workers through practical, positive actions, and by setting a good example. - Disagree","Please indicate how
  much you agree or disagree with the following statements. - I need to win respect from my workers through practical, positive actions, and by setting a good example. - Neither agree nor disagree","Please indicate how
  much you agree or disagree with the following statements. - I need to win respect from my workers through practical, positive actions, and by setting a good example. - Agree","Please indicate how
  much you agree or disagree with the following statements. - I need to win respect from my workers through practical, positive actions, and by setting a good example. - Strongly agree","Please indicate how
  much you agree or disagree with the following statements. - Workers will not work hard unless they are forced to. - Strongly disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers will not work hard unless they are forced to. - Disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers will not work hard unless they are forced to. - Neither agree nor disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers will not work hard unless they are forced to. - Agree","Please indicate how
  much you agree or disagree with the following statements. - Workers will not work hard unless they are forced to. - Strongly agree","Please indicate how
  much you agree or disagree with the following statements. - Workers respond better to threats than encouragement - Strongly disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers respond better to threats than encouragement - Disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers respond better to threats than encouragement - Neither agree nor disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers respond better to threats than encouragement - Agree","Please indicate how
  much you agree or disagree with the following statements. - Workers respond better to threats than encouragement - Strongly agree","Please indicate how
  much you agree or disagree with the following statements. - Workers are more productive if they feel comfortable and safe at work. - Strongly disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers are more productive if they feel comfortable and safe at work. - Disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers are more productive if they feel comfortable and safe at work. - Neither agree nor disagree","Please indicate how
  much you agree or disagree with the following statements. - Workers are more productive if they feel comfortable and safe at work. - Agree","Please indicate how
  much you agree or disagree with the following statements. - Workers are more productive if they feel comfortable and safe at work. - Strongly agree","Please indicate how
  much you agree or disagree with the following statements. - Ensuring that workers have good working conditions helps me to achieve production goals. - Strongly disagree","Please indicate how
  much you agree or disagree with the following statements. - Ensuring that workers have good working conditions helps me to achieve production goals. - Disagree","Please indicate how
  much you agree or disagree with the following statements. - Ensuring that workers have good working conditions helps me to achieve production goals. - Neither agree nor disagree","Please indicate how
  much you agree or disagree with the following statements. - Ensuring that workers have good working conditions helps me to achieve production goals. - Agree","Please indicate how
  much you agree or disagree with the following statements. - Ensuring that workers have good working conditions helps me to achieve production goals. - Strongly agree","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Divide the work into smaller tasks ","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Establish two-way communication","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Tell the worker she is too slow compared to her peers ","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Forbid the worker from asking questions until their work speeds up","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Listen to the worker to understand what problems they may be having","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Find ways to arouse interest in learning the job","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Instruct the worker on each stage of the job ","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Demonstrate how to complete the job or task","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Shout at her to motivate her to work faster ","Imagine a female worker is unmotivated and is missing her production
  and quality targets. What are some of the strategies I  could take as an
  effective supervisor to motivate her to perform better? 
  Check all that apply. - Threaten to dock her pay if performance does not improve","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Divide the work into smaller tasks ","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Establish two-way communication","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Tell the worker he is too slow compared to his peers ","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Forbid the worker from asking questions until their work speeds up","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Listen to the worker to understand what problems they may be having","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Find ways to arouse interest in learning the job","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Instruct the worker on each stage of the job ","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Demonstrate how to complete the job or task","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Shout at him to motivate him to work faster","Imagine a male worker is unmotivated and is missing his production and
  quality targets. What are some of the strategies I could take as an
  effective supervisor to motivate him to perform better? 
  Check all that apply. - Threaten to dock his pay if performance does not improve ",What is your gender?,"What is your role in the factory? - Production worker (sewing, cutting, ironing, finishing, QC etc)","What is your role in the factory? - Non-production worker (mechanic, security, etc)","What is your role in the factory? - Supervisor (production, cutting, quality etc)","What is your role in the factory? - Management or administrative (GM, HR, accounting, etc)",How long have you worked in this factory?,Please add your survey ID (if applicable)
